Epoch 1.51 / 50, i = 180 / 17800, loss = 2.176919
Epoch 1.51 / 50, i = 181 / 17800, loss = 2.169082
Epoch 1.51 / 50, i = 182 / 17800, loss = 2.179106
Epoch 1.51 / 50, i = 183 / 17800, loss = 2.155039
Epoch 1.52 / 50, i = 184 / 17800, loss = 2.166018
Epoch 1.52 / 50, i = 185 / 17800, loss = 2.131438
Epoch 1.52 / 50, i = 186 / 17800, loss = 2.159438
Epoch 1.53 / 50, i = 187 / 17800, loss = 2.147783
Epoch 1.53 / 50, i = 188 / 17800, loss = 2.169807
Epoch 1.53 / 50, i = 189 / 17800, loss = 2.143328
Epoch 1.53 / 50, i = 190 / 17800, loss = 2.184029
Epoch 1.54 / 50, i = 191 / 17800, loss = 2.195513
Epoch 1.54 / 50, i = 192 / 17800, loss = 2.158499
Epoch 1.54 / 50, i = 193 / 17800, loss = 2.177655
Epoch 1.54 / 50, i = 194 / 17800, loss = 2.109225
Epoch 1.55 / 50, i = 195 / 17800, loss = 2.155077
Epoch 1.55 / 50, i = 196 / 17800, loss = 2.128985
Epoch 1.55 / 50, i = 197 / 17800, loss = 2.143529
Epoch 1.56 / 50, i = 198 / 17800, loss = 2.123818
Epoch 1.56 / 50, i = 199 / 17800, loss = 2.086943
Epoch 1.56 / 50, i = 200 / 17800, loss = 2.137946
Epoch 1.56 / 50, i = 201 / 17800, loss = 2.064156
Epoch 1.57 / 50, i = 202 / 17800, loss = 2.116706
Epoch 1.57 / 50, i = 203 / 17800, loss = 2.090501
Epoch 1.57 / 50, i = 204 / 17800, loss = 2.187704
Epoch 1.58 / 50, i = 205 / 17800, loss = 2.106609
Epoch 1.58 / 50, i = 206 / 17800, loss = 2.172245
Epoch 1.58 / 50, i = 207 / 17800, loss = 2.152701
Epoch 1.58 / 50, i = 208 / 17800, loss = 2.082566
Epoch 1.59 / 50, i = 209 / 17800, loss = 2.105971
Epoch 1.59 / 50, i = 210 / 17800, loss = 2.115379
Epoch 1.59 / 50, i = 211 / 17800, loss = 2.121716
Epoch 1.60 / 50, i = 212 / 17800, loss = 2.095465
Epoch 1.60 / 50, i = 213 / 17800, loss = 2.086664
Epoch 1.60 / 50, i = 214 / 17800, loss = 2.075667
Epoch 1.60 / 50, i = 215 / 17800, loss = 2.119539
Epoch 1.61 / 50, i = 216 / 17800, loss = 2.133065
Epoch 1.61 / 50, i = 217 / 17800, loss = 2.107039
Epoch 1.61 / 50, i = 218 / 17800, loss = 2.096230
Epoch 1.62 / 50, i = 219 / 17800, loss = 2.144810
Epoch 1.62 / 50, i = 220 / 17800, loss = 2.151595
Epoch 1.62 / 50, i = 221 / 17800, loss = 2.125232
Epoch 1.62 / 50, i = 222 / 17800, loss = 2.043690
Epoch 1.63 / 50, i = 223 / 17800, loss = 2.095318
Epoch 1.63 / 50, i = 224 / 17800, loss = 2.050869
Epoch 1.63 / 50, i = 225 / 17800, loss = 2.091180
Epoch 1.63 / 50, i = 226 / 17800, loss = 2.091694
Epoch 1.64 / 50, i = 227 / 17800, loss = 2.161724
Epoch 1.64 / 50, i = 228 / 17800, loss = 2.097550
Epoch 1.64 / 50, i = 229 / 17800, loss = 2.057156
Epoch 1.65 / 50, i = 230 / 17800, loss = 2.085654
Epoch 1.65 / 50, i = 231 / 17800, loss = 2.064102
Epoch 1.65 / 50, i = 232 / 17800, loss = 2.072259
Epoch 1.65 / 50, i = 233 / 17800, loss = 2.040181
Epoch 1.66 / 50, i = 234 / 17800, loss = 2.063063
Epoch 1.66 / 50, i = 235 / 17800, loss = 2.072029
Epoch 1.66 / 50, i = 236 / 17800, loss = 2.064997
Epoch 1.67 / 50, i = 237 / 17800, loss = 2.030029
Epoch 1.67 / 50, i = 238 / 17800, loss = 2.043676
Epoch 1.67 / 50, i = 239 / 17800, loss = 2.031501
Epoch 1.67 / 50, i = 240 / 17800, loss = 2.049833
Epoch 1.68 / 50, i = 241 / 17800, loss = 2.043368
Epoch 1.68 / 50, i = 242 / 17800, loss = 2.029797
Epoch 1.68 / 50, i = 243 / 17800, loss = 2.082812
Epoch 1.69 / 50, i = 244 / 17800, loss = 2.005659
Epoch 1.69 / 50, i = 245 / 17800, loss = 2.080048
Epoch 1.69 / 50, i = 246 / 17800, loss = 2.028523
Epoch 1.69 / 50, i = 247 / 17800, loss = 2.045424
Epoch 1.70 / 50, i = 248 / 17800, loss = 2.038598
Epoch 1.70 / 50, i = 249 / 17800, loss = 2.071289
Epoch 1.70 / 50, i = 250 / 17800, loss = 2.038792
Epoch 1.71 / 50, i = 251 / 17800, loss = 2.092641
Epoch 1.71 / 50, i = 252 / 17800, loss = 2.087618
Epoch 1.71 / 50, i = 253 / 17800, loss = 2.067892
Epoch 1.71 / 50, i = 254 / 17800, loss = 2.032492
Epoch 1.72 / 50, i = 255 / 17800, loss = 2.068672
Epoch 1.72 / 50, i = 256 / 17800, loss = 2.023519
Epoch 1.72 / 50, i = 257 / 17800, loss = 2.028558
Epoch 1.72 / 50, i = 258 / 17800, loss = 2.044178
Epoch 1.73 / 50, i = 259 / 17800, loss = 2.039890
Epoch 1.73 / 50, i = 260 / 17800, loss = 2.026332
Epoch 1.73 / 50, i = 261 / 17800, loss = 2.028301
Epoch 1.74 / 50, i = 262 / 17800, loss = 2.053579
Epoch 1.74 / 50, i = 263 / 17800, loss = 2.039684
