Running with CUDA on GPU 0	
Epoch 1.41 / 80, i = 146 / 28480, loss = 2.351804	
Epoch 1.41 / 80, i = 147 / 28480, loss = 2.268794	
Epoch 1.42 / 80, i = 148 / 28480, loss = 2.336156	
Epoch 1.42 / 80, i = 149 / 28480, loss = 2.318524	
Epoch 1.42 / 80, i = 150 / 28480, loss = 2.321037	
Epoch 1.42 / 80, i = 151 / 28480, loss = 2.316340	
Epoch 1.43 / 80, i = 152 / 28480, loss = 2.286732	
Epoch 1.43 / 80, i = 153 / 28480, loss = 2.299028	
Epoch 1.43 / 80, i = 154 / 28480, loss = 2.299882	
Epoch 1.44 / 80, i = 155 / 28480, loss = 2.301857	
Epoch 1.44 / 80, i = 156 / 28480, loss = 2.305510	
Epoch 1.44 / 80, i = 157 / 28480, loss = 2.269123	
Epoch 1.44 / 80, i = 158 / 28480, loss = 2.301076	
Epoch 1.45 / 80, i = 159 / 28480, loss = 2.300229	
Epoch 1.45 / 80, i = 160 / 28480, loss = 2.311624	
Epoch 1.45 / 80, i = 161 / 28480, loss = 2.295323	
Epoch 1.46 / 80, i = 162 / 28480, loss = 2.325767	
Epoch 1.46 / 80, i = 163 / 28480, loss = 2.268886	
Epoch 1.46 / 80, i = 164 / 28480, loss = 2.310000	
Epoch 1.46 / 80, i = 165 / 28480, loss = 2.243646	
Epoch 1.47 / 80, i = 166 / 28480, loss = 2.242485	
Epoch 1.47 / 80, i = 167 / 28480, loss = 2.260004	
Epoch 1.47 / 80, i = 168 / 28480, loss = 2.258245	
Epoch 1.47 / 80, i = 169 / 28480, loss = 2.252315	
Epoch 1.48 / 80, i = 170 / 28480, loss = 2.230688	
Epoch 1.48 / 80, i = 171 / 28480, loss = 2.263946	
Epoch 1.48 / 80, i = 172 / 28480, loss = 2.255318	
Epoch 1.49 / 80, i = 173 / 28480, loss = 2.287917	
Epoch 1.49 / 80, i = 174 / 28480, loss = 2.295005	
Epoch 1.49 / 80, i = 175 / 28480, loss = 2.264829	
Epoch 1.49 / 80, i = 176 / 28480, loss = 2.296738	
Epoch 1.50 / 80, i = 177 / 28480, loss = 2.223410	
Epoch 1.50 / 80, i = 178 / 28480, loss = 2.232460	
Epoch 1.50 / 80, i = 179 / 28480, loss = 2.284849	
Epoch 1.51 / 80, i = 180 / 28480, loss = 2.237509	
Epoch 1.51 / 80, i = 181 / 28480, loss = 2.219800	
Epoch 1.51 / 80, i = 182 / 28480, loss = 2.240552	
Epoch 1.51 / 80, i = 183 / 28480, loss = 2.221593	
Epoch 1.52 / 80, i = 184 / 28480, loss = 2.225864	
Epoch 1.52 / 80, i = 185 / 28480, loss = 2.208815	
Epoch 1.52 / 80, i = 186 / 28480, loss = 2.196793	
Epoch 1.53 / 80, i = 187 / 28480, loss = 2.214346	
Epoch 1.53 / 80, i = 188 / 28480, loss = 2.223073	
Epoch 1.53 / 80, i = 189 / 28480, loss = 2.211993	
Epoch 1.53 / 80, i = 190 / 28480, loss = 2.236568	
Epoch 1.54 / 80, i = 191 / 28480, loss = 2.271701	
Epoch 1.54 / 80, i = 192 / 28480, loss = 2.220978	
Epoch 1.54 / 80, i = 193 / 28480, loss = 2.248096	
Epoch 1.54 / 80, i = 194 / 28480, loss = 2.168732	
Epoch 1.55 / 80, i = 195 / 28480, loss = 2.206506	
Epoch 1.55 / 80, i = 196 / 28480, loss = 2.196985	
Epoch 1.55 / 80, i = 197 / 28480, loss = 2.193578	
Epoch 1.56 / 80, i = 198 / 28480, loss = 2.189297	
Epoch 1.56 / 80, i = 199 / 28480, loss = 2.138454	
Epoch 1.56 / 80, i = 200 / 28480, loss = 2.189737	
Epoch 1.56 / 80, i = 201 / 28480, loss = 2.136035	
Epoch 1.57 / 80, i = 202 / 28480, loss = 2.177236	
Epoch 1.57 / 80, i = 203 / 28480, loss = 2.168179	
Epoch 1.57 / 80, i = 204 / 28480, loss = 2.252641	
Epoch 1.58 / 80, i = 205 / 28480, loss = 2.166319	
Epoch 1.58 / 80, i = 206 / 28480, loss = 2.240459	
Epoch 1.58 / 80, i = 207 / 28480, loss = 2.208083	
Epoch 1.58 / 80, i = 208 / 28480, loss = 2.140622	
Epoch 1.59 / 80, i = 209 / 28480, loss = 2.172111	
Epoch 1.59 / 80, i = 210 / 28480, loss = 2.160057	
Epoch 1.59 / 80, i = 211 / 28480, loss = 2.182056	
Epoch 1.60 / 80, i = 212 / 28480, loss = 2.130441	
Epoch 1.60 / 80, i = 213 / 28480, loss = 2.142822	
Epoch 1.60 / 80, i = 214 / 28480, loss = 2.131310	
Epoch 1.60 / 80, i = 215 / 28480, loss = 2.179118	
Epoch 1.61 / 80, i = 216 / 28480, loss = 2.204565	
Epoch 1.61 / 80, i = 217 / 28480, loss = 2.164757	
Epoch 1.61 / 80, i = 218 / 28480, loss = 2.147542	
Epoch 1.62 / 80, i = 219 / 28480, loss = 2.197202	
Epoch 1.62 / 80, i = 220 / 28480, loss = 2.196842	
Epoch 1.62 / 80, i = 221 / 28480, loss = 2.176466	
Epoch 1.62 / 80, i = 222 / 28480, loss = 2.098718	
Epoch 1.63 / 80, i = 223 / 28480, loss = 2.168776	
Epoch 1.63 / 80, i = 224 / 28480, loss = 2.114701	
Epoch 1.63 / 80, i = 225 / 28480, loss = 2.156431	
Epoch 1.63 / 80, i = 226 / 28480, loss = 2.149222	
Epoch 1.64 / 80, i = 227 / 28480, loss = 2.213464	
Epoch 1.64 / 80, i = 228 / 28480, loss = 2.153194	
Epoch 1.64 / 80, i = 229 / 28480, loss = 2.121427	
Epoch 1.65 / 80, i = 230 / 28480, loss = 2.127582	
Epoch 1.65 / 80, i = 231 / 28480, loss = 2.150782	
Epoch 1.65 / 80, i = 232 / 28480, loss = 2.131905	
Epoch 1.65 / 80, i = 233 / 28480, loss = 2.098557	
Epoch 1.66 / 80, i = 234 / 28480, loss = 2.122403	
Epoch 1.66 / 80, i = 235 / 28480, loss = 2.135500	
Epoch 1.66 / 80, i = 236 / 28480, loss = 2.125874	
Epoch 1.67 / 80, i = 237 / 28480, loss = 2.111705	
Epoch 1.67 / 80, i = 238 / 28480, loss = 2.082696	
Epoch 1.67 / 80, i = 239 / 28480, loss = 2.092727	
Epoch 1.67 / 80, i = 240 / 28480, loss = 2.113667	
Epoch 1.68 / 80, i = 241 / 28480, loss = 2.097582	
Epoch 1.68 / 80, i = 242 / 28480, loss = 2.082734	
